NetworkNum,Network,Address,latitude,longitude
1,Network 1,"6323 N. Avondale, Chicago, IL, 60631",41.965124,-87.751923
2,Network 2,"6323 N. Avondale, Chicago, IL, 60631",41.984206,-87.679138
3,Network 3,"5101 W. Harrison St, Chicago, IL, 60644",41.918242,-87.763939
4,Network 4,"6323 N. Avondale, Chicago, IL, 60631",41.936101,-87.658912
5,Network 5,"2935 W. Polk Street, Chicago, IL, 60612",41.881532,-87.715934
6,Network 6,"2245 W. Jackson Blvd, Chicago, IL, 60612",41.881532,-87.650986
7,Network 7,"4655 S. Dearborn St, Chicago, IL, 60609",41.843176,-87.698708
8,Network 8,"4655 S. Dearborn St, Chicago, IL, 60609",41.809058,-87.698558
9,Network 9,"4655 S. Dearborn, Chicago, IL, 60609",41.799427,-87.607384
10,Network 10,"11424 S. Western, Chicago, IL, 60643",41.765646,-87.710724
11,Network 11,"4655 S. Dearborn, Chicago, IL, 60609",41.765232,-87.652702
12,Network 12,"4655 S. Dearborn, Chicago, IL, 60609",41.750499,-87.576985
13,Network 13,"11424 S. Western, Chicago, IL, 60643",41.681253,-87.579955
14,Network 14,"110 N. Paulina St, Chicago, IL 60612",41.964286,-87.729203
15,Network 15,"110 N. Paulina St, Chicago, IL 60612",41.87821,-87.708805
16,Network 16,"110 N. Paulina St, Chicago, IL 60612",41.77288,-87.686669
17,Network 17,"110 N. Paulina St, Chicago, IL 60612",41.723143,-87.58937
