the_geom,School_ID,Short_Name,Address,Grade_Cat,Lat,Long
POINT (-87.74009743580557 41.807578507688),400009,GLOBAL CITIZENSHIP,4647 W 47TH ST,ES,41.80757851,-87.74009744
POINT (-87.70523452592847 41.877248353011105),400011,LOCKE A,3141 W JACKSON BLVD,ES,41.87724835,-87.70523453
POINT (-87.72709565848757 41.93729828527696),400013,ASPIRA - EARLY COLLEGE HS,3986 W BARRY AVE,HS,41.93729829,-87.72709566
POINT (-87.72239341160187 41.96639814328423),400017,ASPIRA - HAUGAN,3729 W LELAND AVE,ES,41.96640601,-87.7223992
POINT (-87.76532197832115 41.88232222170121),400021,CATALYST - CIRCLE ROCK,5608 W WASHINGTON BLVD,ES,41.88232222,-87.76532198
POINT (-87.69494501175208 41.899376573214596),400022,CHIARTS HS,2714 W AUGUSTA BLVD,HS,41.89937657,-87.69494501
POINT (-87.58792764148505 41.74317942056082),400023,CICS - AVALON/SOUTH SHORE,1501 E 83RD PL,ES,41.74317942,-87.58792764
POINT (-87.67024265730416 41.79404286449799),400024,CICS - BASIL,1816 W GARFIELD BLVD,ES,41.79404286,-87.67024266
POINT (-87.68135796493897 41.92241462993949),400025,CICS - BUCKTOWN,2235 N HAMILTON AVE,ES,41.92241463,-87.68135796
POINT (-87.65756105861041 41.72024642375139),400026,CICS - LOOMIS,9535 S LOOMIS ST,ES,41.72024642,-87.65756106
POINT (-87.71049242849384 41.950891275505334),400027,CICS - IRVING PARK,3820 N SPAULDING AVE,ES,41.95089128,-87.71049243
POINT (-87.616888381727 41.68443303871135),400028,CICS - PRAIRIE,11530 S PRAIRIE AVE,ES,41.68443304,-87.61688838
POINT (-87.6212607530029 41.78412639760318),400029,CICS - WASHINGTON PARK,110 E 61ST ST,ES,41.7841264,-87.62126075
POINT (-87.77674853945702 41.92168749543773),400030,CICS - WEST BELDEN,2245 N MCVICKER AVE,ES,41.9216875,-87.77674854
POINT (-87.69261439880505 41.745365450693456),400031,CICS - WRIGHTWOOD,8130 S CALIFORNIA AVE,ES,41.74536545,-87.6926144
POINT (-87.66897963899916 41.748382408369885),400032,CICS - ELLISON HS,1817 W 80TH ST,HS,41.74838241,-87.66897964
POINT (-87.6557681329176 41.721221432987626),400033,CICS - LONGWOOD,1309 W 95TH ST,HS,41.72122143,-87.65576813
POINT (-87.7265042643365 41.99024501216414),400034,CICS - NORTHTOWN HS,3900 W PETERSON AVE,HS,41.99024501,-87.72650426
POINT (-87.67481841837017 42.01303148982308),400035,CHICAGO MATH & SCIENCE HS,7212 N CLARK ST,HS,42.01303149,-87.67481842
POINT (-87.69436444521669 41.9067706355916),400039,ERIE,1405 N WASHTENAW AVE,ES,41.90677064,-87.69436445
POINT (-87.72107064650437 41.858369744008876),400044,KIPP - ASCEND,1616 S AVERS AVE,ES,41.85836974,-87.72107065
POINT (-87.71067948006804 41.86727271466351),400046,LEARN - BUTLER,1132 S HOMAN AVE,ES,41.86727271,-87.71067948
POINT (-87.69873871979605 41.87786063190724),400047,LEARN - CAMPBELL,212 S FRANCISCO AVE,ES,41.87786063,-87.69873872
POINT (-87.70207089041898 41.88731991570442),400048,LEARN - EXCEL,3021 W CARROLL AVE,ES,41.88731992,-87.70207089
POINT (-87.70850768195612 41.856962452058696),400049,LEGACY,3318 W OGDEN AVE,ES,41.85696245,-87.70850768
POINT (-87.66772404347269 41.8256997600275),400050,NAMASTE,3737 S PAULINA ST,ES,41.82569976,-87.66772404
POINT (-87.66262778223668 41.90019052118369),400051,NOBLE - NOBLE HS,1010 N NOBLE ST,HS,41.90019052,-87.66262778
POINT (-87.60416374544151 41.76525228180878),400052,NOBLE - COMER,7131 SOUTH CHICAGO AVE,HS,41.76525228,-87.60416375
POINT (-87.66448299828372 41.895282194047745),400053,NOBLE - GOLDER HS,1454 W SUPERIOR ST,HS,41.89528219,-87.664483
POINT (-87.73012671472554 41.91521410714899),400054,NOBLE - PRITZKER HS,4131 W CORTLAND AVE,HS,41.91521411,-87.73012671
POINT (-87.66085886980431 41.89242501281333),400055,NOBLE - RAUNER HS,1337 W OHIO ST,HS,41.89242501,-87.66085887
POINT (-87.71804676766158 41.895362259113206),400056,NOBLE - ROWE CLARK HS,3645 W CHICAGO AVE,HS,41.89536226,-87.71804677
POINT (-87.67611092979354 41.86581741364526),400057,NOBLE - UIC HS,1231 S DAMEN AVE,HS,41.86581741,-87.67611093
POINT (-87.70898711116939 41.858563554206846),400058,NLCP - CHRISTIANA HS,1615 S. CHRISTIANA AVE.,HS,41.85856355,-87.70898711
POINT (-87.70068059995427 41.864145843195466),400059,NLCP - COLLINS HS,1313 S SACRAMENTO DR,HS,41.86414584,-87.7006806
POINT (-87.67116041930242 41.983371436354595),400060,AHS - PASSAGES,1643 W BRYN MAWR AVE,ES,41.98337144,-87.67116042
