PlanningZone,NetworkNum,Network,Admin,Phone,Address,Lat,Long_,MarkerName,SHAPE_STAr,SHAPE_STLe
Far South Side - Far East Side,13,Network 13,Daniel Perry,(773) 535-7525,"11424 S. Western, Chicago, IL, 60643",41.681253,-87.579955,13_circle_blue.png,906720839.975,162454.977276
Midway-Chgo Lawn-Ashburn-Beverly,10,Network 10,Mira Weber,(773) 535-7543,"11424 S. Western, Chicago, IL, 60643",41.765646,-87.710724,10_circle_blue.png,721266850.353,230589.189739
Englewood-Auburn Gresham,11,Network 11,Dr. Annise Lewis,(773) 535-7267,"4655 S. Dearborn, Chicago, IL, 60609",41.765232,-87.652702,11_circle_blue.png,350304430.328,80914.8900902
Bronzeville-Hyde Park-Woodlawn,9,Network 9,Alene Mason,(773) 535-8955,"4655 S. Dearborn, Chicago, IL, 60609",41.799427,-87.607384,09_circle_blue.png,326274274.453,109505.191814
Pilsen-Little Village,7,Network 7,Antonio Acevedo,(773) 535-7101,"4655 S. Dearborn St, Chicago, IL, 60609",41.843176,-87.698708,07_circle_blue.png,251795679.957,88737.9023073
Near N-Near W-Loop-BridgePort-Chinatown,6,Network 6,Nicole Milberg,(773) 534-7565,"2245 W. Jackson Blvd, Chicago, IL, 60612",41.881532,-87.650986,06_circle_blue.png,511338040.108,222966.027
Humboldt Park-Garfield W-N Lawndale,5,Network 5,Shontae Higginbottom,(773) 534-6544,"2935 W. Polk Street, Chicago, IL, 60612",41.881532,-87.715934,05_circle_blue.png,289455445.104,81448.6328301
Saug-ReedDunning-AlbanyPk,1,Network 1,Julie McGlade,(773) 534-1038,"6323 N. Avondale, Chicago, IL, 60631",41.965124,-87.751923,01_circle_blue.png,822879301.188,241428.505226
Belmont-Austin,3,Network 3,Jennifer Farrell-Rottman,(773) 534-6520,"5101 W. Harrison St, Chicago, IL, 60644",41.918242,-87.763939,03_circle_blue.png,335929159.102,88839.6446738
Logan-Lincoln Park,4,Network 4,Karime Asaf,(773) 534-1035,"6323 N. Avondale, Chicago, IL, 60631",41.936101,-87.658912,04_circle_blue.png,388272960.403,125270.701716
Ravenswood,2,Network 2,Mauricio Segovia,(773) 534-1100,"6323 N. Avondale, Chicago, IL, 60631",41.984206,-87.679138,02_circle_blue.png,359040611.825,97351.8149158
Chatham-South Shore,12,Network 12,Shenethe Parks,(773) 535-8975,"4655 S. Dearborn, Chicago, IL, 60609",41.750499,-87.576985,12_circle_blue.png,456621283.539,121438.04683
McKinley Park,8,Network 8,Lucilla Davila,(773) 535-8211,"4655 S. Dearborn St, Chicago, IL, 60609",41.809058,-87.698558,08_circle_blue.png,440586422.999,94404.8059823
