PointInTimeDt,Pos #,FTE,ClsInd,JobCd,Job Title,Union,Dept ID,Department,Dept,DeptType,Network,Network2,Zipcode,Type,Special Ed,Bilingual,Science,Math,Arts,Early Childhood,Physical Ed,Counselor,Clinician,Library,World Language,JobProfileDesc
8/21/2024,613228,1,Tchr,601270,Instructional Support Leader,CTU,2431,Network 3,Network 3,CO/CW,,,60644,,,,,,,,,,,,,
8/21/2024,496737,1,Tchr,601270,Instructional Support Leader,CTU,2451,Network 5,Network 5,CO/CW,,,60612,,,,,,,,,,,,,
8/21/2024,496778,1,Tchr,601270,Instructional Support Leader,CTU,2471,Network 7,Network 7,CO/CW,,,60609,,,,,,,,,,,,,
8/21/2024,558649,1,Tchr,601270,Instructional Support Leader,CTU,2481,Network 8,Network 8,CO/CW,,,60609,,,,,,,,,,,,,
8/21/2024,521962,1,Tchr,601270,Instructional Support Leader,CTU,2481,Network 8,Network 8,CO/CW,,,60609,,,,,,,,,,,,,
8/21/2024,496741,1,Tchr,601270,Instructional Support Leader,CTU,2491,Network 9,Network 9,CO/CW,,,60609,,,,,,,,,,,,,
8/21/2024,552281,1,Tchr,601270,Instructional Support Leader,CTU,2501,Network 10,Network 10,CO/CW,,,60643,,,,,,,,,,,,,
8/21/2024,496784,1,Tchr,601270,Instructional Support Leader,CTU,2531,Network 13,Network 13,CO/CW,,,60643,,,,,,,,,,,,,
8/21/2024,613238,1,Tchr,601270,Instructional Support Leader,CTU,2531,Network 13,Network 13,CO/CW,,,60643,,,,,,,,,,,,,
8/21/2024,613260,1,Tchr,601270,Instructional Support Leader,CTU,2651,Network 15,Network 15,CO/CW,,,60612,,,,,,,,,,,,,
8/21/2024,613262,1,Tchr,601270,Instructional Support Leader,CTU,2671,Network 17,Network 17,CO/CW,,,60612,,,,,,,,,,,,,
8/21/2024,604152,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,595981,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,595982,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,617804,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,617802,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,596008,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,596122,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,617815,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,604242,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,595969,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,604234,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,595980,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,604203,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,605535,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,595984,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,604251,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,604233,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,617796,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,596104,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,604258,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,605157,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
8/21/2024,596007,1,Tchr,600075,Resident Teacher,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,,60602,,,,,,,,,,,,,
