CW DISTRICT  OFFICES
Network 1 Office
Network 2 Office
Network 3 Office
Network 4 Office
Network 5 Office
Network 6 Office
Network 7 Office
Network 8 Office
Network 9 Office
Network 10 Office
Network 11 Office
Network 12 Office
Network 13 Office
Network 14 Office
Network 15 Office
Network 16 Office
Network 17 Office
CW-Counseling & Pstsecondry Ad
Pathways to College & Careers
Human Resources
City-Wide Human Resources
C-W Early Childhood
Dept. of Lang & Cul Ed
City-Wide Language & Culture
ODLSS Diverse-Learner Supports
ODLSS Specially-Designed Instr
C-W Pupil Support Services
City-Wide Finance General
City-Wide Education General
Citwide Early College and Career
Office of Stud Hlth & Wellness
DISTRICT SCHOOLS
Addams Elementary School
Air Force Academy High School
Albany Park Multicultural Acad
Alcott College Prep H.S.
Alcott Elem School
Aldridge Elem School
Amundsen High School
Ariel Community Academy
Armour Elem School
Armstrong, G. Elem School
Ashburn Comm. Elem. School
Ashe Elem School
Audubon Elem School
Austin College and Career Academy H.S. 
Avalon Park Elem School
Avondale-Logandale Elementary School
Azuela Elementary School
Back of the Yards IB H.S.
Barnard Elem School
Barry Elem School
Barton Elem School
Bass Elem School
Bateman Elem School
Beard Spec. Ed. Facility
Beasley Academic Center
Beaubien Elem School
Beethoven Elem School
Beidler Elem School
Belding Elem School
Bell Elem School
Belmont-Cragin Comm. Elem. Sch
Bennett Elem School
Black Magnet
Blaine Elem School
Blair Spec. Ed. Facility
Bogan High School
Bond Elem School
Bouchet Math & Science Academy
Bowen High School
Bradwell Elem School
Brennemann Elem School
Brentano Math & Sci Academy
Bridge Elem School
Bright Elem School
Brighton Park Elem
Bronzeville Classical
Bronzeville Scholastic
Brooks College Prep H.S.
Brown, R. Community Academy
Brown, W. Elem School
Brownell Elem School
Brunson Specialty School
Budlong Elem School
Burbank Elem School
Burke Elem School
Burley Elem School
Burnham Elem School
Burnside Scholastic Academy
Burr Elementary School
Burroughs Elem School
Byrne Elem School
Calmeca Academy of Fine Arts
Cameron Elem School
Camras Elementary School
Canty Elem School
Cardenas Elem School
Carnegie Elem School
Carroll-Rosenwald Specialty Elem School
Carson Elementary School
Carter Elem School
Carver Elem. School
Carver Military Academy
Casals Elementary School
Cassell Elem School
Catalpa (formerly Northwest Early Child. Ctr.)
Cather Elem School
Chalmers Elem School
Chappell Achieve. Skills Cntr.
Chase Elem School
Chavez Elem School
Chicago Academy
Chicago Academy H.S.
Chicago Agriculture H.S.
Chicago Military Academy
Chicago Voc Career Academy
Chicago World Language Acad.
Chopin Elem School
Christopher Elem School
Claremont Academy
Clark Elementary School
Clark, M. Magnet High School
Clay Elem School
Clemente Comm Acad High School
Cleveland Elem School
Clinton Elem School
Clissold Elem School
Colemon Academy
Coles Elem School
Collins Acad. S.T.E.A.M. Magnet H.S.
Columbia Explorers Academy
Cook Elem School
Coonley Elem School
Cooper Elem School
Corkery Elem School
Corliss High School
Courtenay Elem School
Crane Medical Prep H.S.
Crown Comm Academy
Cuffe Math, Sci & Tech Acad
Cullen Elem School
Curie Metro High School
Curtis Elem School
Daisy Bates Acad. of Soc. Justice (formerly Caldwell)
Daley Academy
Darwin Elem School
Davis, M. Magnet Academy
Davis, N. Elem School
Dawes Elem School
DePriest Elem School
Decatur Classical School
Deneen Elem School
Dett Elem School
Dever Elem School
Devry Advantage
Dewey Elem School
Diego Comm Academy
Dirksen Elem School
Disney II
Disney Magnet School
Dixon Elem School
Dominguez Elementary School
Doolittle East Elem School
Dore Elem School
Douglass High School
Drake Elem School
Drummond Elem School
DuBois Elem School
Dulles Elem School
Dunbar Voc. High School
Dunne Elem School
Durkin Park Elem. School
Dvorak Elem School
Dyett H.S. for the Arts
Earhart Elem School
Earle Elem School
Eberhart Elem School
Ebinger Elem School
Edgebrook Elem School
Edison Comp Gifted School
Edison Park Elem. School
Edwards Elem School
Ellington Elem School
Englewood STEM H.S.
Ericson Elem School
Esmond Elem School
Everett Elem School
Evergreen Academy
Evers Elem School
Fairfield Academy
Falconer Elem School
Faraday Elem School
Farmer School (formerly Fuller)
Farnsworth Elem School
Farragut Car Acad High School
Fenger High School
Fernwood Elem School
Field Elem School
Finkl Academy
Fiske Elem School
Foreman High School
Fort Dearborn Elem School
Foster Park Elem School
Franklin Magnet School
Frazier International Magnet
Fulton Elem School
Funston Elem School
Gage Park High School
Gale Community Academy
Galileo Magnet Academy
Gallistel Magnet School
Garvey, M. Elem School
Garvy, J. Elem School
Gary Elem School
Gillespie Elem School
Ginsburg School (formerly Columbus)
