dept_id,short_name,school_id,ctu_name,type,address,zip,grade_category,es_network,ctu_network,cps_network,ward,county_dist,congress,house,senate,community_area,community_name,community_side,planning_zone
22021,ADDAMS,609772,Addams Elementary School,Neighborhood,10810 S AVENUE H,60617,ES,13,13B,13,10,4,2,25,13,52,EAST SIDE,Far Southeast Side,Far South Side - Far East Side
13727,Adv. Learning and Speclty Progs CW,,Adv. Learning and Speclty Progs CW,CW Department,,,,,,,,,,,,,,,
45231,AIR FORCE HS,610513,Air Force Academy High School,Military academy,3630 S WELLS ST,60609,HS,6,16,16,11,11,7,6,3,34,ARMOUR SQUARE,South Side,Near N-Near W-Loop-BridgePort-Chinatown
32011,ALBANY PARK,610212,Albany Park Multicultural Acad,Neighborhood,4929 N SAWYER AVE,60625,ES,1,01C,1,33,12,3,40,20,14,ALBANY PARK,Far North Side,Saug-ReedDunning-AlbanyPk
70241,ALCOTT HS,610524,Alcott College Prep H.S.,Small,2957 N HOYNE AVE,60618,HS,4,15,15,32,12,5,40,20,5,NORTH CENTER,North Side,Logan-Lincoln Park
22041,ALCOTT ES,609774,Alcott Elem School,Neighborhood,2625 N ORCHARD ST,60614,ES,4,04B,4,43,10,5,12,6,7,LINCOLN PARK,North Side,Logan-Lincoln Park
22641,ALDRIDGE,609848,Aldridge Elem School,Neighborhood,630 E 131ST ST,60827,ES,13,13B,13,10,5,2,29,15,54,RIVERDALE,Far Southeast Side,Far South Side - Far East Side
46031,AMUNDSEN HS,609695,Amundsen High School,Neighborhood,5110 N DAMEN AVE,60625,HS,2,02B,2,40,12,9,13,7,4,LINCOLN SQUARE,North Side,Ravenswood
23421,ARIEL,609951,Ariel Community Academy,Small,1119 E 46TH ST,60653,ES,9,09A,9,4,3,2,25,13,39,KENWOOD,South Side,Bronzeville-Hyde Park-Woodlawn
22061,ARMOUR,609777,Armour Elem School,Neighborhood,950 W 33RD PL,60608,ES,6,06B,6,11,11,4,24,12,60,BRIDGEPORT,South Side,Near N-Near W-Loop-BridgePort-Chinatown
22081,ARMSTRONG G,609779,"Armstrong, G. Elem School",Neighborhood,2110 W GREENLEAF AVE,60645,ES,2,02A,2,50,13,9,14,7,2,WEST RIDGE,Far North Side,Ravenswood
32081,ASHBURN,610287,Ashburn Comm. Elem. School,Small,8300 S ST LOUIS AVE,60652,ES,10,10B,10,18,3,1,31,16,70,ASHBURN,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
26191,ASHE,610268,Ashe Elem School,Neighborhood,8505 S INGLESIDE AVE,60619,ES,12,12B,12,8,4,1,33,17,44,CHATHAM,Far Southeast Side,Chatham-South Shore
66255,ASPIRA - BUSINESS & FINANCE HS,400172,Aspira Business & Finance Charter HS,Charter,2989 N MILWAUKEE AVE,60618,HS,4,CTUA2,4,35,8,3,40,20,21,AVONDALE,North Side,Logan-Lincoln Park
66109,YCCS - ASSOCIATION HOUSE,400126,Association House Charter High School,Charter,1116 N KEDZIE AVE,60651,HS,5,CTUA2,5,26,8,3,4,2,23,HUMBOLDT PARK,West Side,Humboldt Park-Garfield W-N Lawndale
22091,AUDUBON,609782,Audubon Elem School,Neighborhood,3500 N HOYNE AVE,60618,ES,4,04A,4,32,12,5,11,6,5,NORTH CENTER,North Side,Logan-Lincoln Park
46621,AUSTIN CCA HS,610518,Austin College and Career Academy H.S. ,Small,231 N PINE AVE,60644,HS,3,15,15,37,1,7,8,4,25,AUSTIN,West Side,Belmont-Austin
22101,AVALON PARK,609786,Avalon Park Elem School,Neighborhood,8045 S KENWOOD AVE,60619,ES,12,12A,12,8,4,1,33,17,45,AVALON PARK,Far Southeast Side,Chatham-South Shore
41091,AVONDALE-LOGANDALE,610325,Avondale-Logandale Elementary School,Neighborhood,3212 W GEORGE ST,60618,ES,4,04C,4,35,8,3,40,20,21,AVONDALE,North Side,Logan-Lincoln Park
22921,AZUELA,610544,Azuela Elementary School,Neighborhood,4707 W MARQUETTE RD,60629,ES,10,10B,10,23,11,4,22,11,65,WEST LAWN,Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
46551,BACK OF THE YARDS HS,610563,Back of the Yards IB H.S.,Neighborhood,2111 W 47TH ST,60609,HS,8,08A,8,12,7,4,1,1,61,NEW CITY,Southwest Side,McKinley Park
22131,BARNARD,609788,Barnard Elem School,Neighborhood,10354 S CHARLES ST,60643,ES,10,10C,10,19,11,1,35,18,72,BEVERLY,Far Southwest Side,Midway-Chgo Lawn-Ashburn-Beverly
22141,BARRY,609789,Barry Elem School,Neighborhood,2828 N KILBOURN AVE,60641,ES,4,04A,4,31,8,3,39,20,20,HERMOSA,Northwest Side,Logan-Lincoln Park
22151,BARTON,609790,Barton Elem School,Neighborhood,7650 S WOLCOTT AVE,60620,ES,11,11C,11,17,3,1,31,16,71,AUBURN GRESHAM,Far Southwest Side,Englewood-Auburn Gresham
22161,BASS,609791,Bass Elem School,Neighborhood,1140 W 66TH ST,60621,ES,11,11C,11,16,2,7,32,16,68,ENGLEWOOD,Southwest Side,Englewood-Auburn Gresham
22171,BATEMAN,609792,Bateman Elem School,Neighborhood,4220 N RICHMOND ST,60618,ES,1,01C,1,33,12,3,40,20,16,IRVING PARK,Northwest Side,Saug-ReedDunning-AlbanyPk
30051,BEARD,610083,Beard Spec. Ed. Facility,Special Education,6445 W STRONG ST,60656,ES,1,01A,1,41,10,5,19,10,10,NORWOOD PARK,Far North Side,Saug-ReedDunning-AlbanyPk
29321,BEASLEY,610246,Beasley Academic Center,Regional gifted center,5255 S STATE ST,60615,ES,9,09B,9,3,2,7,5,3,40,WASHINGTON PARK,South Side,Bronzeville-Hyde Park-Woodlawn
22201,BEAUBIEN,609796,Beaubien Elem School,Regional gifted center,5025 N LARAMIE AVE,60630,ES,1,01B,1,45,10,5,19,10,11,JEFFERSON PARK,Far North Side,Saug-ReedDunning-AlbanyPk
25931,BEETHOVEN,610237,Beethoven Elem School,Neighborhood,25 W 47TH ST,60609,ES,9,09A,9,3,2,7,5,3,38,GRAND BOULEVARD,South Side,Bronzeville-Hyde Park-Woodlawn
22211,BEIDLER,609797,Beidler Elem School,Neighborhood,3151 W WALNUT ST,60612,ES,5,05A,5,27,2,7,10,5,27,EAST GARFIELD PARK,West Side,Humboldt Park-Garfield W-N Lawndale
22221,BELDING,609798,Belding Elem School,Neighborhood,4257 N TRIPP AVE,60641,ES,1,01B,1,39,12,5,19,10,16,IRVING PARK,Northwest Side,Saug-ReedDunning-AlbanyPk
