"dept_id","ctu_name"
"20071","Columbia Explorers Academy"
"22021","Addams Elementary School"
"22031","Tubman, H Elem School"
"22041","Alcott Elem School"
"22061","Armour Elem School"
"22071","New Field Primary School"
"22081","Armstrong, G. Elem School"
"22091","Audubon Elem School"
"22101","Avalon Park Elem School"
"22131","Barnard Elem School"
"22141","Barry Elem School"
"22151","Barton Elem School"
"22161","Bass Elem School"
"22171","Bateman Elem School"
"22181","Nicholson Elem School"
"22191","Clark Elementary School"
"22201","Beaubien Elem School"
"22211","Beidler Elem School"
"22221","Belding Elem School"
"22231","Bell Elem School"
"22241","Bennett Elem School"
"22251","South Shore Fine Arts Academy"
"22261","Blaine Elem School"
"22271","Mosaic Elem School (formerly Boone)"
"22281","Joplin Elem School"
"22291","Bradwell Elem School"
"22301","Haley Elem School"
"22311","Brentano Math & Sci Academy"
"22321","Bridge Elem School"
"22331","Bright Elem School"
"22341","LORCA"
"22351","Brown, W. Elem School"
"22361","Brownell Elem School"
"22371","Bouchet Math & Science Academy"
"22381","West Ridge Elementary School"
"22391","Budlong Elem School"
"22401","Burbank Elem School"
"22411","Burke Elem School"
"22421","Burley Elem School"
"22431","Burnham Elem School"
"22441","Hernandez Middle School"
"22451","Hughes, L. Magnet School"
"22471","Burr Elementary School"
"22481","Burroughs Elem School"
"22491","Brunson Specialty School"
"22501","Byrne Elem School"
"22511","Daisy Bates Acad. of Soc. Justice (formerly Caldwell)"
"22521","Little Village Academy"
"22531","Cameron Elem School"
"22541","Canty Elem School"
"22551","Carnegie Elem School"
"22571","Carroll-Rosenwald Specialty Elem School"
"22581","Prieto Academy"
"22591","Skinner North School"
"22601","Carson Elementary School"
"22611","Carter Elem School"
"22621","Carver Elem. School"
"22631","Sadlowski Elementary School"
"22641","Aldridge Elem School"
"22651","Cassell Elem School"
"22661","Greeley Elem School"
"22671","Chalmers Elem School"
"22681","Chappell Achieve. Skills Cntr."
"22691","Camras Elementary School"
"22701","Chase Elem School"
"22711","STEM"
"22721","Chopin Elem School"
"22731","Clay Elem School"
"22741","Cleveland Elem School"
"22751","Clinton Elem School"
"22761","Clissold Elem School"
"22771","Coles Elem School"
"22791","Ginsburg School (formerly Columbus)"
"22801","Cook Elem School"
"22811","Jordan Community School"
"22821","Coonley Elem School"
"22831","Cooper Elem School"
"22841","Langford Elem School"
"22851","Corkery Elem School"
"22861","Perez Elem School"
"22871","Dirksen Elem School"
"22881","Darwin Elem School"
"22891","Davis, N. Elem School"
"22901","Dawes Elem School"
"22921","Azuela Elementary School"
"22931","Deneen Elem School"
"22941","Dever Elem School"
"22951","Dewey Elem School"
"22971","Dixon Elem School"
"22991","Doolittle East Elem School"
"23001","Dore Elem School"
"23011","Drake Elem School"
"23021","Drummond Elem School"
"23031","Earle Elem School"
"23041","Eberhart Elem School"
"23051","Ebinger Elem School"
"23061","Curtis Elem School"
"23071","Edgebrook Elem School"
"23081","Edwards Elem School"
"23101","Ellington Elem School"
"23131","Esmond Elem School"
"23141","Everett Elem School"
"23151","Falconer Elem School"
"23161","Farnsworth Elem School"
"23201","Fernwood Elem School"
"23211","Field Elem School"
"23221","Fiske Elem School"
"23231","Telpochcalli  Elem. School"
"23241","Fort Dearborn Elem School"
"23251","Kellman Corporate Comm. School"
"23261","Foster Park Elem School"
"23271","Farmer School (formerly Fuller)"
"23281","Fulton Elem School"
"23291","Funston Elem School"
"23301","Garvy, J. Elem School"
"23311","Gary Elem School"
"23321","Gillespie Elem School"
"23341","Goethe Elem School"
"23351","Owens, J. Elem. Comm. Academy"
"23361","Grissom Elem School"
"23371","Goudy Elem School"
"23381","Richardson Middle School"
"23391","Graham, A. Elem School"
"23401","Gray Elem School"
"23411","Dominguez Elementary School"
"23421","Ariel Community Academy"
"23431","Greene, N. Elem School"
"23441","Gregory Elem School"
"23451","Gresham Elem School"
"23461","Grimes Elem School"
"23481","Haines Elem School"
"23491","Hale Elem School"
"23501","Hamilton Elem School"
"23511","Hamline Elem School"
"23521","Sor Juana Classical"
"23531","Hammond Elem School"
"23541","Finkl Academy"
"23551","McAuliffe, C. Elem. School"
"23561","Harte Elem School"
"23581","Harvard School of Excellence"
"23591","Haugan Elem School"
"23611","Zapata Academy"
"23621","Hayt Elem School"
"23631","Woodlawn Community"
"23641","Smith, W. Elem School"
"23651","Healy Achievement Skills Ctr"
"23671","Hearst Elem School"
"23681","Hedges Main Elem School"
"23711","Hefferan Elem School"
"23721","Henderson Elem School"
"23731","Henry Elem School"
"23751","South Loop Elem School"
"23771","Herzl Elem School"
"23791","Lara Academy"
"23801","Hibbard Elem School"
"23811","Hitch Elem School"
"23821","Holden Elem School"
"23831","Holmes Elem School"
"23851","Howe Elem School"
"23871","Hoyne Elem School"
"23881","Cuffe Math, Sci & Tech Acad"
"23891","Cullen Elem School"
"23901","Hughes, C. Elem School"
"23911","Hurley Elem School"
"23921","Jahn Elem School"
"23931","Jamieson Elem School"
"23961","Jungman Elem School"
"23971","Kellogg Elem School"
"23991","Kershaw Elem School"
"24011","Casals Elementary School"
"24021","Kilmer Elem School"
"24051","Cardenas Elem School"
"24071","Kinzie Elem School"
"24081","Kipling Elem School"
"24101","Lozano Blg. & Int'l. Ctr."
"24131","Green, Wendell Elem School"
"24151","Lewis Elem School"
"24171","Libby Elem School"
"24191","Lincoln Elem School"
"24201","Linne Elem School"
"24221","Lloyd Elem School"
"24231","Locke Elem School"
"24241","Lovett Elem School"
"24251","Lowell Elem School"
"24281","Lyon Elem School"
"24301","Madison Elem School"
"24311","Manierre Elem School"
"24331","Mann Elem School"
"24341","Marquette West Elem School"
"24361","Marsh Elem School"
"24371","Faraday Elem School"
"24381","Mason Elem School"
"24401","Mayer Elem School"
"24421","Minoso Elem School (formerly McClellan)"
"24431","McCormick Elem School"
"24441","Till Math and Science Academy"
"24451","McKay Elem School"
"24461","Hanson Park Elem School"
"24471","McPherson Elem School"
"24511","Mitchell Elem School"
"24531","Logan Square School (formerly Monroe)"
"24551","Moos Elem School"
"24571","Morrill Elem School"
"24591","Mt. Greenwood Elementary School"
"24601","Mt. Vernon Elem School"
"24611","Mozart Elem School"
"24621","Murphy Elem School"
"24631","Brown, R. Community Academy"
"24641","Nash Elem School"
"24651","Neil Elem School"
"24661","Nettelhorst Elem School"
"24671","Nightingale Elem School"
"24681","Nixon Elem School"
"24691","Nobel Elem School"
"24711","Norwood Park Elem School"
"24721","West Park Acad Fine Arts & Tec"
"24731","Ogden International School"
"24741","Oglesby Elem School"
"24751","O'Keeffe Elem School"
"24761","Onahan Elem School"
"24771","Oriole Park Elem School"
"24781","Piccolo Specialty School"
"24791","Otis Elem School"
"24801","O'Toole Elem School"
"24811","Wells Preparatory School"
"24821","Palmer Elem School"
"24841","Park Manor Elem School"
"24851","Pasteur Elem School"
"24871","Peck Elem School"
"24881","Irving, W. Elementary School"
"24891","Peirce Elem School"
"24911","Penn Elem School"
"24921","Washington, Harold Elem. Sch."
"24931","Ruiz Elementary School"
"24941","Peterson Elem. School"
"24951","Garvey, M. Elem School"
"24961","Pickard Elem School"
"24971","Pirie Elem School"
"24981","Plamondon Elem School"
"24991","Ward, L. Elem School"
"25011","Portage Park Elem School"
"25021","Prescott Elem School"
"25031","Prussing Elem School"
"25041","Pullman Elem School"
"25061","Ravenswood Elem School"
"25071","Ray Elem School"
"25091","Reavis Elem School"
"25101","Reilly Elem School"
"25111","Reinberg Elem School"
"25121","Revere Elem School"
"25141","Rogers Elem School"
"25151","Chavez Elem School"
"25181","Ruggles Elem School"
"25191","Ryder Elem School"
"25211","Sauganash Elem School"
"25231","Sawyer Elem School"
"25241","Scammon Elem School"
"25291","Schubert Elem School"
"25301","Seward Elem School"
"25331","Mireles Academy"
"25341","Sherman Elem School"
"25351","Sherwood Elem School"
"25361","Shields Elem School"
"25371","Shoesmith Elem School"
"25381","Shoop Academy"
"25391","Schmid Elem School"
"25401","Smyser Elem School"
"25411","Smyth, J. Elem School"
"25431","Solomon Elem School"
"25441","Spencer Elem School"
"25451","Spry Elem School"
"25471","Stevenson Elem School"
"25491","Dunne Elem School"
"25521","Stowe Elem School"
"25541","New Sullivan Elem. School"
"25561","Sutherland Elem School"
"25571","Swift Elem School"
"25581","Talcott Elem School"
"25591","Taylor Elem School"
"25601","Thorp, J. N. Elem School"
"25621","Tilton Elem School"
"25631","Monarcas Elem School (formerly Tonti)"
"25661","Twain Elem School"
"25671","Lavizzo Elem. School"
"25681","Volta Elem School"
"25711","Wadsworth Elem School"
"25731","Walsh Elem School"
"25751","Ward, J. Elem School"
"25761","Warren Elem School"
"25771","Washington, G. Elem School"
"25781","Waters Elem School"
"25791","Webster Elem School"
"25811","Wentworth Elem School"
"25831","Whistler Elem School"
"25841","Whitney Elem School"
"25861","Whittier Elem School"
"25871","Pritzker, A N  Elem School"
"25881","Wildwood Elem School"
"25911","Yates Elem School"
"25921","Young Elem School"
"25931","Beethoven Elem School"
"25941","Bond Elem School"
"25951","Daley Academy"
"25991","Brennemann Elem School"
"26021","Cather Elem School"
"26031","Dett Elem School"
"26051","Dvorak Elem School"
"26061","Robinson Elem School"
"26081","Catalpa (formerly Northwest Early Child. Ctr.)"
"26091","Morton School of Excellence"
"26141","Dulles Elem School"
"26181","Bronzeville Classical"
"26191","Ashe Elem School"
"26201","McCutcheon Elem School"
"26231","Johnson Elem School"
"26251","Mollison Elem School"
"26281","Tanner Elem School"
"26291","Powell Elem School"
"26301","McNair School of Excellence"
"26321","Mays Academy"
"26331","Lee Elem School"
"26351","Melody Elem School"
"26371","King, Dr. Martin Luther King Jr. Acad. of Soc. Justice"
"26381","Westcott Elem School"
"26391","Leland Elem School"
"26421","McDowell Elem School"
"26431","White Academy"
"26441","Earhart Elem School"
"26451","Brighton Park Elem"
"26461","Evergreen Academy"
"26521","Stagg Elem School"
"26541","Woodson Elem Sch."
"26591","Evers Elem School"
"26601","DuBois Elem School"
"26621","Wacker Elem School"
"26631","DePriest Elem School"
"26651","Jackson, Mahalia Elem School"
"26701","Fairfield Academy"
"26721","Sandoval Elem. School"
"26731","Vick Early Chld & Fam Center"
"26751","Colemon Academy"
"26771","Belmont-Cragin Comm. Elem. Sch"
"26781","Talman Comm. Elem. School"
"26791","Tarkington Sch of Excellence"
"26821","Calmeca Academy of Fine Arts"
"26831","Durkin Park Elem. School"
"26841","North River Elem. School"
"26861","UPLIFT Community School"
"26881","Suder Campus Montessori"
"26891","Thomas Early Chld Ctr"
"26921","Disney II"
"26931","Virtual Academy"
"27091","Shields Middle School"
"28081","Edison Park Elem. School"
"28151","Orr Academy High School"
"29011","Edison Comp Gifted School"
"29021","Burnside Scholastic Academy"
"29031","Decatur Classical School"
"29041","Turner-Drew Language Academy"
"29051","Ericson Elem School"
"29071","Kanoon Magnet School"
"29081","Franklin Magnet School"
"29091","Gallistel Magnet School"
"29101","LaSalle II Magnet School"
"29111","Randolph Magnet School"
"29121","Gunsaulus Scholastic Academy"
"29131","Hawthorne Scholastic Academy"
"29141","Galileo Magnet Academy"
"29151","Saucedo Scholastic Academy"
"29161","LaSalle Language Academy"
"29171","Chicago World Language Acad."
"29181","McDade Classical School"
"29191","Inter-American Magnet School"
"29201","Sheridan, M. Academy"
"29211","Keller Magnet School"
"29221","Murray Language Academy"
"29231","Newberry Magnet School"
"29241","Owen, W. Scholastic Acad."
"29251","Pershing East Magnet School"
"29261","Poe Classical School"
"29271","Sayre Language Academy"
"29281","Skinner Classical West School"
"29291","Stone Scholastic Academy"
"29301","Thorp, O. A. Scholastic Acad"
"29311","Vanderpoel Magnet School"
"29321","Beasley Academic Center"
"29341","Jensen Scholastic Academy"
"29361","Lenart Gifted Ctr"
"29371","Sabin Magnet School"
"29381","Black Magnet"
"29391","Davis, M. Magnet Academy"
"29401","Disney Magnet School"
"29411","Frazier International Magnet"
"30011","Jefferson, N. Alternative Sch"
"30031","Christopher Elem School"
"30051","Beard Spec. Ed. Facility"
"30071","Blair Spec. Ed. Facility"
"30081","Stock, F. Elem School"
"30101","Salazar Blng Ed Ctr"
"30121","Rudolph Learning Center"
"30141","Courtenay Elem School"
"30151","Lincoln Park Early Learning Center"
"31041","Crown Comm Academy"
"31061","Metcalfe Magnet School"
"31081","Gale Community Academy"
"31101","Ninos Heroes Magnet School"
"31111","Hay Community Academy"
"31121","Hendricks Elem School"
"31141","Pilsen Comm Academy"
"31151","Kozminski Community Academy"
"31161","Lawndale Comm Academy"
"31181","Parker Comm Academy"
"31201","Parkside Comm Academy"
"31211","Pulaski Comm. Academy"
"31221","Sumner Elem School"
"31251","Higgins Community Academy"
"31261","Diego Comm Academy"
"31281","Orozco Comm Academy"
"31301","Claremont Academy"
"32011","Albany Park Multicultural Acad"
"32021","Hampton Fine Arts"
"32031","National Teachers Academy"
"32081","Ashburn Comm. Elem. School"
"41041","Madero Elementary School"
"41051","Clark, M. Magnet High School"
"41061","Douglass High School"
"41091","Avondale-Logandale Elementary School"
"41111","Marine Leadership Acad. at Ames"
"41121","Northwest Middle School"
"45211","Chicago Academy"
"45221","Rickover Naval Academy"
"45231","Air Force Academy High School"
"46021","Hancock High School"
"46031","Amundsen High School"
"46041","Bogan High School"
"46061","Northside College Prep. H.S."
"46101","Solorio Academy High School"
"46111","Fenger High School"
"46131","Foreman High School"
"46141","Gage Park High School"
"46171","Hyde Park Academy H.S."
"46181","Kelly College Prep"
"46191","Kelvyn Park High School"
"46201","Kennedy High School"
"46211","Lake View High School"
"46221","Lane Tech High School"
"46241","Mather High School"
"46251","Morgan Park High School"
"46261","Phillips High School"
"46271","Roosevelt High School"
"46281","Schurz High School"
"46291","Steinmetz High School"
"46301","Sullivan High School"
"46311","Taft High School"
"46321","Lincoln Park High School"
"46331","Washington, G. High School"
"46341","Hubbard High School"
"46361","Kenwood Acad. High School"
"46371","King College Prep"
"46381","Carver Military Academy"
"46391","Corliss High School"
"46401","Julian High School"
"46421","Juarez Community Academy"
"46431","North-Grand H.S."
"46461","Spry Comm Links H.S."
"46471","Raby School (Flower)"
"46481","Chicago Academy H.S."
"46491","Bowen High School"
"46511","Lindblom Math & Science Acad."
"46521","Devry Advantage"
"46551","Back of the Yards IB H.S."
"46611","Goode, STEM Academy HS"
"46621","Austin College and Career Academy H.S. "
"46631","South Shore Int'l Col. Prep."
"46641","Crane Medical Prep H.S."
"46681","Dyett H.S. for the Arts"
"46691","Englewood STEM H.S."
"47021","Jones College Prep High School"
"47031","Hirsch Metro H.S. of Communica"
"47041","Marshall Metro High School"
"47051","Brooks College Prep H.S."
"47061","Senn High School"
"47081","Von Steuben Metro High School"
"47091","Chicago Agriculture H.S."
"47101","Young Magnet High School"
"47131","New Bronzeville/Englewood HS"
"49021","Northside Learning Center"
"49031","Southside Occ. Academy"
"49041","York Alternative High School"
"49051","Simpson Academy"
"49081","Vaughn Occ High School"
"49101","Graham, R. Training Center"
"49121","Little Village Multiplex"
"49131","Collins Acad. S.T.E.A.M. Magnet H.S."
"51021","Harlan Comm Acad High School"
"51071","Wells Comm Acad High School"
"51091","Clemente Comm Acad High School"
"52011","World Language School"
"53011","Chicago Voc Career Academy"
"53021","Dunbar Voc. High School"
"53041","Prosser Voc High School"
"53051","Richards Academy"
"53061","Simeon Vocational High School"
"53071","Westinghouse College Prep."
"53091","Farragut Car Acad High School"
"53101","Curie Metro High School"
"53111","Manley High School"
"53121","Tilden High School"
"55011","Phoenix Mil. Acad."
"55151","Infinity Math & Science School"
"55161","Williams Prep. Sch. of Med"
"55171","Social Justice High School"
"55181","Multicultural Arts School"
"55191","Bronzeville Scholastic"
"67021","Peace & Ed. Coal. Altr. H.S."
"70020","Payton College Prep."
"70070","Chicago Military Academy"
"70241","Alcott College Prep H.S."
