PointInTimeDt,Pos #,JobCd,Job Title,FTE,ClsInd,RegTmp,Union,Dept ID,Department,Dept,DeptType,Network,AdjStatus,SpecEd,Bilingual,Science,Math,Arts,EarlyChild,PhysEd,Counselor,Clinician,Library,WorldLang
9/9/2024,613228,601270,Instructional Support Leader,1,Tchr,Reg,CTU,02431,Network 3,Network 3,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,558687,601270,Instructional Support Leader,1,Tchr,Reg,CTU,02431,Network 3,Network 3,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,555941,990100,Teacher-Citywide,1,Tchr,Reg,CTU,02441,Network 4,Network 4,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,496737,601270,Instructional Support Leader,1,Tchr,Reg,CTU,02451,Network 5,Network 5,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,558649,601270,Instructional Support Leader,1,Tchr,Reg,CTU,02481,Network 8,Network 8,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,521962,601270,Instructional Support Leader,1,Tchr,Reg,CTU,02481,Network 8,Network 8,CO/CW,,AdjVact,,,,,,EarlyChildhood,,,,,
9/9/2024,496741,601270,Instructional Support Leader,1,Tchr,Reg,CTU,02491,Network 9,Network 9,CO/CW,,AdjVact,Spec Ed,,,,,,,,,,
9/9/2024,552281,601270,Instructional Support Leader,1,Tchr,Reg,CTU,02501,Network 10,Network 10,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,496784,601270,Instructional Support Leader,1,Tchr,Reg,CTU,02531,Network 13,Network 13,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,613238,601270,Instructional Support Leader,1,Tchr,Reg,CTU,02531,Network 13,Network 13,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,613256,601270,Instructional Support Leader,1,Tchr,Reg,CTU,02641,Network 14,Network 14,CO/CW,,AdjVact,,,,,,,PhysEd,,,,
9/9/2024,613260,601270,Instructional Support Leader,1,Tchr,Reg,CTU,02651,Network 15,Network 15,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,613262,601270,Instructional Support Leader,1,Tchr,Reg,CTU,02671,Network 17,Network 17,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,632311,505067,College & Career Equity Spec,1,ESP,Reg,CTU,10855,CW-Counseling & Pstsecondry Ad,CW C&P Ad,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674942,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674982,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674912,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,617801,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674946,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674964,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674929,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,604259,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,604240,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,604203,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,617796,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674950,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,675173,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674907,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674971,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674786,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,605535,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,675198,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674911,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674893,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674976,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,604241,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,PhysEd,,,,
9/9/2024,674978,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,675185,003917,Instructor Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674966,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674861,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,675199,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,675176,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674983,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,675202,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674898,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,675191,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,605157,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,604234,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,604152,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674900,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674921,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,675188,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674788,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674934,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674905,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,595969,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,675189,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674846,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674776,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674973,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,596125,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674789,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674869,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,617804,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,Spec Ed,,,,,,,,,,
9/9/2024,675193,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674798,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674889,000049,Regular Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,675182,003917,Instructor Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,674785,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,617815,600075,Resident Teacher,1,Tchr,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,Spec Ed,,,,,,,,,,
9/9/2024,675200,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
9/9/2024,675195,000463,Teacher Assistant,1,ESP,Reg,CTU,11070,Talent Office - Citywide,Talent-CW,CO/CW,,AdjVact,,,,,,,,,,,
