school_id,dept_id,short_name,address,grade_cat,lat,long,ctu_name,scs
400013,66254,ASPIRA - EARLY COLLEGE HS,3986 W BARRY AVE,HS,41.937298,-87.727096,Early College Charter High School,0
400017,66351,ASPIRA - HAUGAN,3729 W LELAND AVE,ES,41.966406,-87.722399,Haugan Charter Middle School,0
400022,63051,CHIARTS HS,2714 W AUGUSTA BLVD,HS,41.899377,-87.694945,Chicago High School for the Arts,0
400031,66381,CICS - WRIGHTWOOD,8130 S CALIFORNIA AVE,ES,41.745365,-87.692614,Wrightwood Charter Elem School,0
400032,66072,CICS - ELLISON HS,1817 W 80TH ST,HS,41.748382,-87.66898,Ellison Charter High School,0
400034,66241,CICS - NORTHTOWN HS,3900 W PETERSON AVE,HS,41.990245,-87.726504,Northtown Charter High School,0
400050,66271,NAMASTE,3737 S PAULINA ST,ES,41.8257,-87.667724,Namaste Charter School,0
400060,66191,AHS - PASSAGES,1643 W BRYN MAWR AVE,ES,41.983371,-87.67116,Passages Charter School,0
400079,66395,ACERO - ZIZUMBO,4248 W 47TH ST,ES,41.810135,-87.730495,Zizumbo Charter Elem School,0
400080,66396,ACERO - TORRES,4248 W 47TH ST,ES,41.8082,-87.73045,Torres Charter Elem School,0
400081,66392,ACERO - DE LAS CASAS,1641 W 16TH ST,ES,41.859504,-87.667949,Casas Charter Elem School,0
400082,66393,ACERO - FUENTES,2845 W BARRY AVE,ES,41.937476,-87.699594,Fuentes Charter Elem School,0
400083,66131,ACERO - PAZ,2651 W 23RD ST,ES,41.850035,-87.692551,Paz Charter Campus,0
400084,66391,ACERO - TAMAYO,5135 S CALIFORNIA AVE,ES,41.79993,-87.693862,Tamayo Charter Elem School,0
400085,66394,ACERO - GARCIA HS,4248 W 47TH ST,HS,41.809171,-87.730467,Garcia Charter High School,0
400089,66397,ACERO - MARQUEZ,2916 W 47TH ST,ES,41.808309,-87.697394,Marquez Charter Elem School,0
400094,63081,EPIC HS,8255 S HOUSTON AVE,HS,41.744849,-87.550222,Epic Academy Charter High School,0
400101,66398,ACERO - CISNEROS,2744 W PERSHING RD,ES,41.822884,-87.693996,Cisneros Charter Elem School,0
400104,63131,INSTITUTO - HEALTH,2520 S WESTERN AVE,HS,41.845967,-87.68724,Instituto Health Science Career Academy-Charter,0
400112,66399,ACERO - IDAR,5050 S HOMAN AVE,ES,41.801042,-87.708797,Idar Charter Elem School,0
400114,66601,ACERO - SANTIAGO,2510 W CORTEZ ST,ES,41.900344,-87.689896,Santiago Charter Elem School,0
400120,66133,ACERO - CLEMENTE,2050 N NATCHEZ AVE,ES,41.917952,-87.78783,Clemente Charter Elem School,0
400121,66134,ACERO - DE LA CRUZ,7416 N RIDGE BLVD,ES,42.016476,-87.684406,Cruz Charter Elem & HS,0
400125,66108,YCCS - ASPIRA PANTOJA,3121 N PULASKI RD,HS,41.938187,-87.727137,Pantoja Charter High School,0
400126,66109,YCCS - ASSOCIATION HOUSE,1116 N KEDZIE AVE,HS,41.901572,-87.70686,Association House Charter High School,0
400135,66619,YCCS - LATINO YOUTH,2001 S CALIFORNIA AVE,HS,41.854665,-87.69543,Latino Youth Charter High School,0
400145,66629,YCCS - YOUTH CONNECTION,1814 S UNION AVE,HS,41.857208,-87.644888,Youth Connection Leadership Acad. Charter,0
400164,66921,INSTITUTO - JUSTICE HS,2570 S BLUE ISLAND AVE,HS,41.845446,-87.684065,Instituto Justice Leadership Acad. Charter,0
400149,66137,ACERO - SOTO HS,5025 S SAINT LOUIS AVE,HS,41.801762,-87.711025,Soto Charter High School,0
400153,66602,ACERO - BRIGHTON PARK,4420 S FAIRFIELD AVE,ES,41.813109,-87.693238,Brighton Park Charter Elem School,0
400159,66661,CHRISTOPHER HOUSE,5235 W BELDEN AVE,ES,41.922181,-87.757522,Christopher House Charter Elem School,0
609674,53011,CHICAGO VOCATIONAL HS,2100 E 87TH ST,HS,41.737174,-87.573268,Chicago Voc Career Academy,0
609676,53021,DUNBAR HS,3000 S KING DR,HS,41.840226,-87.617637,Dunbar Voc. High School,0
609678,47021,JONES HS,700 S STATE ST,HS,41.873066,-87.627675,Jones College Prep High School,0
609679,53041,PROSSER HS,2148 N LONG AVE,HS,41.920059,-87.761048,Prosser Voc High School,0
609680,70020,PAYTON HS,1034 N WELLS ST,HS,41.901575,-87.635385,Payton College Prep.,0
609682,53051,RICHARDS HS,5009 S LAFLIN ST,HS,41.802881,-87.662278,Richards Academy,1
609691,46431,NORTH-GRAND HS,4338 W WABANSIA AVE,HS,41.911674,-87.735238,North-Grand H.S.,0
609692,53061,SIMEON HS,8147 S VINCENNES AVE,HS,41.745781,-87.63541,Simeon Vocational High School,0
609693,53071,WESTINGHOUSE HS,3223 W FRANKLIN BLVD,HS,41.889977,-87.707332,Westinghouse College Prep.,0
609694,46021,HANCOCK HS,5437 W 64TH PL,HS,41.775366,-87.758238,Hancock High School,0
609695,46031,AMUNDSEN HS,5110 N DAMEN AVE,HS,41.975067,-87.679484,Amundsen High School,0
609698,46041,BOGAN HS,3939 W 79TH ST,HS,41.749376,-87.721097,Bogan High School,0
609704,53091,FARRAGUT HS,2345 S CHRISTIANA AVE,HS,41.84856,-87.708706,Farragut Car Acad High School,1
609705,46111,FENGER HS,11220 S WALLACE ST,HS,41.689951,-87.637572,Fenger High School,1
609708,46131,FOREMAN HS,3235 N LECLAIRE AVE,HS,41.939797,-87.754167,Foreman High School,0
609709,46141,GAGE PARK HS,5630 S ROCKWELL ST,HS,41.791013,-87.688954,Gage Park High School,0
609710,51021,HARLAN HS,9652 S MICHIGAN AVE,HS,41.718372,-87.620623,Harlan Comm Acad High School,0
609712,47031,HIRSCH HS,7740 S INGLESIDE AVE,HS,41.753748,-87.601727,Hirsch Metro H.S. of Communica,0
