school_id,dept_id,ActiveMemb,TotVacancy
400013,66254,29,0.0
400017,66351,11,0.0
400022,63051,91,0.0
400031,66381,57,0.0
400032,66072,20,0.0
400034,66241,78,0.0
400050,66271,42,0.0
400060,66191,48,0.0
400079,66395,36,0.0
400080,66396,39,0.0
400081,66392,23,0.0
400082,66393,38,0.0
400083,66131,17,0.0
400084,66391,22,0.0
400085,66394,63,0.0
400089,66397,41,0.0
400094,63081,35,0.0
400101,66398,32,0.0
400104,63131,41,0.0
400112,66399,31,0.0
400114,66601,23,0.0
400120,66133,34,0.0
400121,66134,54,0.0
400125,66108,13,0.0
400126,66109,16,0.0
400135,66619,7,0.0
400145,66629,9,0.0
400164,66921,10,0.0
400149,66137,45,0.0
400153,66602,44,0.0
400159,66661,45,0.0
609674,53011,68,8.5
609676,53021,43,10.0
609678,47021,140,1.5
609679,53041,103,2.0
609680,70020,103,6.5
609682,53051,38,3.5
609691,46431,95,6.0
609692,53061,100,8.0
609693,53071,96,6.0
609694,46021,76,6.5
609695,46031,113,2.0
609698,46041,62,4.5
609704,53091,63,3.0
609705,46111,28,7.5
609708,46131,62,7.0
609709,46141,39,7.5
609710,51021,30,10.5
609712,47031,18,5.0
609713,46171,59,5.0
609715,46181,152,3.0
609716,46191,52,4.0
609718,46201,123,14.5
609719,46211,124,9.0
609720,46221,303,7.0
609722,53111,14,7.5
609723,47041,28,9.5
609724,46241,135,2.0
609725,46251,85,2.0
609726,47051,66,2.0
609727,46261,45,11.0
609728,46271,97,14.0
609729,46281,115,7.5
609730,47061,125,11.0
609732,46291,110,12.5
609733,46301,63,5.5
609734,46311,315,20.0
609735,53121,33,4.5
609737,47081,125,6.0
609738,46321,155,5.0
609739,46331,126,10.0
609740,51071,41,2.0
609741,46341,131,4.0
609744,49021,46,4.5
609745,49031,54,2.0
609746,46361,156,13.0
609983,23681,42,5.0
609985,23711,28,8.5
609986,23721,25,3.5
609987,31121,24,4.5
609988,23731,41,1.5
609990,23751,59,7.0
609991,23771,47,10.0
609993,23791,38,4.5
609994,23801,79,8.0
609995,23811,41,3.0
609996,23821,43,3.0
609997,23831,18,1.5
609874,22871,84,7.0
609875,22881,49,1.0
609876,22891,46,2.0
609879,22901,74,5.0
609880,29031,24,2.0
609883,22931,42,3.0
609850,22661,38,4.0
609851,22671,28,8.0
609852,22681,47,0.0
609853,22701,48,3.0
609854,22721,34,4.0
609855,30031,41,3.0
609856,22731,46,8.0
609857,22741,53,3.0
609859,22751,82,10.0
609748,49041,49,10.5
609749,46061,79,2.5
609750,49051,18,2.0
609751,46371,55,6.0
609753,47091,63,3.0
609754,70070,28,9.0
609755,47101,163,4.5
609756,53101,227,7.0
609759,51091,78,10.0
609760,46381,37,1.0
609761,46391,37,6.0
609762,46401,44,4.0
609764,46421,137,3.0
609766,49081,39,1.0
609769,49101,35,3.0
609772,22021,44,3.5
609773,22031,39,8.0
609777,22061,29,1.0
609779,22081,96,5.5
609780,41111,61,7.0
609782,22091,58,3.0
609783,30011,51,4.5
609786,22101,21,1.0
609788,22131,23,4.0
609789,22141,43,6.0
609791,22161,32,7.0
609792,22171,74,4.0
609793,22181,35,9.0
609794,29011,21,0.0
609795,22191,19,2.5
609796,22201,71,3.0
609797,22211,28,5.0
609798,22221,47,2.0
609799,22231,73,2.0
609800,22241,24,2.0
609803,22261,58,0.0
609804,22271,72,10.5
609805,22281,31,5.5
609806,22291,35,9.5
609807,32021,37,6.5
609808,22301,43,7.0
609809,22311,58,2.0
609810,22321,82,3.0
609811,22331,28,5.5
609812,22351,35,5.0
609813,22361,18,2.0
609815,22371,58,9.5
609817,22391,62,6.0
609818,22401,68,2.0
609819,22411,33,7.0
609820,22421,39,4.0
609821,22431,39,1.5
609827,29021,31,6.5
609828,22471,36,1.0
609829,22481,33,1.0
609830,22491,38,5.5
609832,22501,49,2.0
609833,22511,26,5.0
609834,22521,63,3.0
609835,22531,53,5.0
609836,22541,71,5.0
609837,22551,38,6.0
609839,22571,39,3.5
609842,22601,67,13.0
609844,22611,24,8.0
609845,22621,40,7.0
609848,22641,21,4.0
609849,22651,37,1.0
609861,22761,54,2.5
609862,22771,26,1.0
609863,22791,25,5.0
609864,22801,26,1.0
609865,22811,50,4.0
609866,22821,63,3.0
609867,22831,43,3.0
609869,22841,22,2.5
